Developer,Publisher,Genres,Product Rating,User Ratings Count,Best-seller,year
Xeen,Square Enix,Action RPG,Rated T For Teen,151.0,1,2020
Nintendo,Nintendo,Open-World Action,Rated T For Teen,1815.0,1,2006
Yuke's,Eidos Interactive,Action Adventure,Rated T For Teen,6.0,1,2002
EA Sports,Electronic Arts,Hockey Sim,Rated E +10 For Everyone +10,319.0,0,2014
Snowblind Studios,Sony Online Entertainment,Action RPG,Rated T For Teen,56.0,1,2004
SCE Japan Studio,SCEA,Rhythm,Rated E For Everyone,117.0,1,2008
Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,280.0,0,2008
Llamasoft,Atari SA,Top-Down Shoot-'Em-Up,Rated E For Everyone,16.0,0,2018
"Orbital Media, Inc.","Orbital Media, Inc.",Auto Racing,Rated E For Everyone,38.0,1,2005
Sumo Digital,Sega,Tennis,Rated E +10 For Everyone +10,23.0,0,2008
5pb,PQube,Visual Novel,Rated M For Mature,114.0,1,2016
Invictus,Graphsim Entertainment,Auto Racing Sim,Rated E For Everyone,6.0,0,2005
Telltale Games,Telltale Games,Point-and-Click,Rated E +10 For Everyone +10,48.0,0,2015
Bugbear,Namco Bandai Games,Auto Racing,Rated T For Teen,59.0,1,2012
Zordix Racing,Bigben Interactive,Auto Racing Sim,Rated E For Everyone,17.0,0,2020
NeocoreGames,Paradox Interactive,Real-Time Strategy,Rated T For Teen,23.0,0,2010
Monkey Bar Games,Namco,Action Adventure,Rated E For Everyone,5.0,0,2006
Deep Space,SCEA,Survival,Rated M For Mature,18.0,1,2001
4D Rulers,DreamCatcher Interactive,FPS,Rated M For Mature,5.0,0,2002
Konami,Konami,Card Battle,Rated E For Everyone,41.0,0,2006
Obsidian Entertainment,Versus Evil,Western RPG,Rated M For Mature,762.0,1,2018
Petroglyph,Sega,Real-Time Strategy,Rated T For Teen,59.0,1,2007
Onion Games,Onion Games,RPG,Rated E +10 For Everyone +10,20.0,1,2020
Tom Happ,Tom Happ,Metroidvania,Rated E +10 For Everyone +10,213.0,1,2015
Viva Games,Viva Games,Light Gun,Rated M For Mature,40.0,0,2019
Sony Online Entertainment,Sony Online Entertainment,Action RPG,Rated T For Teen,17.0,0,2006
Bongfish,Destineer,Skiing,Rated T For Teen,7.0,0,2009
From Software,Activision,JRPG,Rated T For Teen,15.0,1,2003
Nighthawk Interactive,Nighthawk Interactive,Football,Rated M For Mature,23.0,0,2018
Digital Eclipse,Universal Interactive,3D Platformer,Rated E For Everyone,23.0,0,2002
Nintendo,Nintendo,Rhythm,Rated E For Everyone,99.0,1,2012
Novik & Co,cdv Software,Turn-Based Tactics,Rated T For Teen,13.0,1,2005
Atlus,Atlus,Turn-Based Tactics,Rated T For Teen,273.0,0,2015
SNK Corporation,NIS America,2D Fighting,Rated T For Teen,56.0,0,2018
From Software,Sega,Action Adventure,Rated T For Teen,13.0,1,2003
Unique Development Studios,VU Games,3D Platformer,Rated T For Teen,20.0,0,2003
Nippon Ichi Software,NIS America,Action RPG,Rated E +10 For Everyone +10,13.0,0,2019
Dynamix,Sierra Entertainment,FPS,Rated T For Teen,43.0,1,2001
CyberConnect2,Namco Bandai Games,3D Fighting,Rated T For Teen,65.0,0,2012
SCEA San Diego Studios,SCEA,Baseball Sim,Rated E For Everyone,190.0,0,2016
EA Sports,Electronic Arts,Soccer Sim,Rated E For Everyone,109.0,0,2009
Milestone S.r.l,Atari SA,Auto Racing Sim,Rated E For Everyone,6.0,0,2003
Snowblind Studios,Sony Online Entertainment,Action RPG,Rated T For Teen,35.0,1,2005
Infinity Ward,Activision,FPS,Rated M For Mature,26.0,0,2014
Nd Cube,Nintendo,Party,Rated E For Everyone,169.0,0,2013
Shift,D3Publisher,Action RPG,Rated T For Teen,41.0,1,2011
Teyon,Maximum Games,Vehicle Sim,Rated E For Everyone,7.0,0,2020
Eclipse Games,Eclipse Games,Auto Racing,Rated E For Everyone,7.0,0,2014
Cing,Tecmo,Visual Novel,Rated T For Teen,6.0,0,2010
Dariusz Pietrala,PM Studios Inc.,Auto Racing,Rated E For Everyone,6.0,0,2021
FluffyLogic,SCEA,Defense,Rated T For Teen,26.0,0,2009
Dead Mage,Dead Mage,Action RPG,Rated T For Teen,301.0,1,2019
Rocky Studio,Neowiz,Rhythm,Rated T For Teen,53.0,1,2018
"Frozenbyte, Inc.",GameTrust,Turn-Based Tactics,Rated E +10 For Everyone +10,133.0,0,2017
Nintendo,Nintendo,Party,Rated E +10 For Everyone +10,102.0,1,2018
Examu,XSEED Games,2D Fighting,Rated T For Teen,41.0,0,2016
Crystal Dynamics,Eidos Interactive,Action Adventure,Rated T For Teen,101.0,1,2008
Kitfox Games,Kitfox Games,Action RPG,Rated E +10 For Everyone +10,30.0,0,2016
Irrational Games,2K Games,FPS,Rated M For Mature,2598.0,1,2007
Creatures Inc.,Nintendo,RPG,Rated E For Everyone,56.0,1,2010
Wales Interactive,Wales Interactive,Light Gun,Rated T For Teen,12.0,0,2018
Vicarious Visions,THQ,3D Platformer,Rated E For Everyone,6.0,0,2003
Sonic Team,Sega,Party,Rated T For Teen,9.0,0,2004
Digital Eclipse,Sega,Compilation,Rated T For Teen,9.0,1,2006
Maxis,Electronic Arts,Virtual Life,Rated T For Teen,32.0,0,2019
Playtonic Games,Team17,3D Platformer,Rated E +10 For Everyone +10,276.0,0,2017
Legacy Interactive,Ubisoft,First-Person Adventure,Rated T For Teen,11.0,0,2008
The Game Kitchen,Team17,Metroidvania,Rated M For Mature,143.0,1,2023
Koei,Koei,Turn-Based Strategy,Rated E +10 For Everyone +10,6.0,1,2009
GRIN,Capcom,Metroidvania,Rated M For Mature,48.0,0,2009
TOSE,Natsume,Tycoon,Rated E For Everyone,8.0,1,2008
Locomotive Games,THQ,Action Adventure,Rated T For Teen,11.0,0,2008
